O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank,margin,Vidhan_Sabha
1,Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.),Bharatiya Janata Party,45954,512,46466,39.0,Gujarat-Dhari -94,1.0,8717.0,Dhari 
3,Vinendrasinh Dilipsinh Zala,Bharatiya Janata Party,97879,913,98792,48.35,Gujarat-Himatnagar -27,1.0,8860.0,Himatnagar 
2,Jadeja Pradhyumansinh Mahipatsinh,Bharatiya Janata Party,79298,897,80195,49.15,Gujarat-Abdasa -1,1.0,9431.0,Abdasa 
3,Durlabhjibhai Harakhjibhai Dethariya,Bharatiya Janata Party,82845,429,83274,46.6,Gujarat-Tankara -66,1.0,10256.0,Tankara 
3,Ahir Hemantbhai Hardasbhai,Aam Aadmi Party,70659,738,71397,47.45,Gujarat-Jamjodhpur -80,1.0,10403.0,Jamjodhpur 
2,Hirabhai Odhavjibhai Solanki,Bharatiya Janata Party,77933,549,78482,43.69,Gujarat-Rajula -98,1.0,10463.0,Rajula 
3,Solanki Ramanbhai Bhikhabhai,Bharatiya Janata Party,91320,452,91772,50.35,Gujarat-Borsad -109,1.0,11165.0,Borsad 
2,Thakor Sukhaji Somaji,Bharatiya Janata Party,69474,398,69872,42.96,Gujarat-Becharaji -23,1.0,11286.0,Becharaji 
1,Dineshsinh Rajendrasinh Kushwaha,Bharatiya Janata Party,59133,332,59465,48.85,Gujarat-Bapunagar -49,1.0,12070.0,Bapunagar 
2,Dr. Mahendrabhai Padalia,Bharatiya Janata Party,65871,559,66430,42.84,Gujarat-Dhoraji -75,1.0,12248.0,Dhoraji 
2,Kiritsinh Sardarsang Dabhi,Bharatiya Janata Party,84213,560,84773,49.77,Gujarat-Dholka -58,1.0,13405.0,Dholka 
1,Arunsinh Ajitsinh Rana,Bharatiya Janata Party,82790,246,83036,51.84,Gujarat-Vagra -151,1.0,13452.0,Vagra 
2,Shailesh Manubhai Parmar,Indian National Congress,68906,224,69130,44.13,Gujarat-Danilimda -54,1.0,13487.0,Danilimda 
1,Imran Khedawala,Indian National Congress,58235,252,58487,45.88,Gujarat-Jamalpur - Khadia -52,1.0,13658.0,Jamalpur 
6,Dharmendrasinh Ranubha Vaghela (Bapu),Independent,77667,238,77905,42.65,Gujarat-Vaghodia -136,1.0,14006.0,Vaghodia 
2,Arvind Shantilal Rana,Bharatiya Janata Party,73014,128,73142,52.45,Gujarat-Surat East -159,1.0,14017.0,Surat East 
1,Dr. Kuberbhai Mansukhbhai Dindor,Bharatiya Janata Party,49219,745,49964,34.99,Gujarat-Santrampur -123,1.0,15577.0,Santrampur 
